SYMBOL,NAME,PRICE(USD),TIME
BTC,Bitcoin,36028.5880580946875475,2022-05-07 10:42:04.845468
ETH,Ethereum,2693.5158402249201775,2022-05-07 10:42:04.845468
USDT,Tether,1.0019024535642820,2022-05-07 10:42:04.845468
BNB,BNB,375.9323528569502035,2022-05-07 10:42:04.845468
USDC,USD Coin,1.0017286172771569,2022-05-07 10:42:04.845468
SOL,Solana,81.8598856958023536,2022-05-07 10:42:04.845468
XRP,XRP,0.5961127758240489,2022-05-07 10:42:04.845468
ADA,Cardano,0.7799414533761829,2022-05-07 10:42:04.845468
LUNA,Terra,73.4692060091166994,2022-05-07 10:42:04.845468
UST,TerraUSD,0.9922092077828503,2022-05-07 10:42:04.845468
BUSD,Binance USD,1.0033955855418351,2022-05-07 10:42:04.845468
DOGE,Dogecoin,0.1304108800549393,2022-05-07 10:42:04.845468
DOT,Polkadot,14.1652284115563022,2022-05-07 10:42:04.845468
AVAX,Avalanche,57.0105204636842680,2022-05-07 10:42:04.845468
SHIB,Shiba Inu,0.0000199162430282,2022-05-07 10:42:04.845468
WBTC,Wrapped Bitcoin,36047.8251607488732228,2022-05-07 10:42:04.845468
DAI,Multi Collateral DAI,1.0013146625200131,2022-05-07 10:42:04.845468
TRX,TRON,0.0846923273268285,2022-05-07 10:42:04.845468
MATIC,Polygon,1.0470388395905859,2022-05-07 10:42:04.845468
NEAR,NEAR Protocol,10.6904704714422684,2022-05-07 10:42:04.845468
CRO,Crypto.com Coin,0.2794711707704338,2022-05-07 10:42:04.845468
LTC,Litecoin,96.4420358817829764,2022-05-07 10:42:04.845468
BCH,Bitcoin Cash,277.0953843626498943,2022-05-07 10:42:04.845468
UNI,Uniswap,7.4954555277106460,2022-05-07 10:42:04.845468
LINK,Chainlink,10.7253268777287212,2022-05-07 10:42:04.845468
LEO,UNUS SED LEO,5.2317669659081003,2022-05-07 10:42:04.845468
ALGO,Algorand,0.7360869862334417,2022-05-07 10:42:04.845468
FTT,FTX Token,35.8055439328524011,2022-05-07 10:42:04.845468
XLM,Stellar,0.1708797919720216,2022-05-07 10:42:04.845468
ATOM,Cosmos,16.9950929945419184,2022-05-07 10:42:04.845468
XMR,Monero,214.4128188992953323,2022-05-07 10:42:04.845468
BTCB,Bitcoin BEP2,35963.2947848289049812,2022-05-07 10:42:04.845468
ETC,Ethereum Classic,27.7027824302651327,2022-05-07 10:42:04.845468
VET,VeChain,0.0467732074683589,2022-05-07 10:42:04.845468
ICP,Internet Computer,12.3977282865199979,2022-05-07 10:42:04.845468
FIL,Filecoin,13.8635234041380665,2022-05-07 10:42:04.845468
FRAX,Frax,1.0083667454018887,2022-05-07 10:42:04.845468
EGLD,Elrond,120.2290727773395734,2022-05-07 10:42:04.845468
MANA,Decentraland,1.4221996239900506,2022-05-07 10:42:04.845468
SAND,The Sandbox,2.0143004969992518,2022-05-07 10:42:04.845468
XTZ,Tezos,2.6040486424515466,2022-05-07 10:42:04.845468
CAKE,PancakeSwap,7.4500475918539440,2022-05-07 10:42:04.845468
DFI,DeFiChain,4.3060605254225508,2022-05-07 10:42:04.845468
THETA,THETA,2.1984691640554649,2022-05-07 10:42:04.845468
RUNE,THORChain,6.1179080007386581,2022-05-07 10:42:04.845468
EOS,EOS,2.0346029442813656,2022-05-07 10:42:04.845468
HBAR,Hedera Hashgraph,0.1342456642415819,2022-05-07 10:42:04.845468
AAVE,Aave,137.8227537849048743,2022-05-07 10:42:04.845468
KLAY,Klaytn,0.6629529513026598,2022-05-07 10:42:04.845468
FTM,Fantom,0.7098463919335347,2022-05-07 10:42:04.845468
AXS,Axie Infinity,28.6506588073360774,2022-05-07 10:42:04.845468
HNT,Helium,14.6321469528489955,2022-05-07 10:42:04.845468
ZEC,Zcash,118.6866144600435585,2022-05-07 10:42:04.845468
KCS,KuCoin Token,17.1127667618163066,2022-05-07 10:42:04.845468
FLOW,Flow,4.4460371738620844,2022-05-07 10:42:04.845468
